headline,time_stamp (yyyymmdd hhmmss)
"June gold settles at $1,201.30/oz on Comex, up $8.70, or 0.7%",20150415 174836
Ulta stock price target raised to $170 from $158 at Piper Jaffray,20150415 163419
Ulta upgraded to overweight from neutral at Piper Jaffray,20150415 163359
GoPro upgraded to overweight from neutral at Piper Jaffray,20150415 163300
Nike stock price target raised to $115 from $101 at Piper Jaffray,20150415 163211
Nike upgraded to overweight from neutral at Piper Jaffray,20150415 163132
May oil trades up at $54.82/bbl on Nymex vs. $54.07 before data,20150415 143148
Nymex oil prices gain more ground after EIA supply data,20150415 143148
Distillate supplies up 2 million barrels: EIA,20150415 143148
Gasoline supplies down 2.1 million barrels: EIA,20150415 143148
